,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Acacia Villas,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,79.87%,15.79%,1.26%,0.53%,0.05%,1.04%,1.45%,3.78%,$26,575.00,$32,848.00,$26,681.00,$21,176.00,$12,379.00,14.80%,20.00%,23.60%,20.40%,,,,,,,,
Callahan,85.86%,10.60%,0.83%,0.21%,,0.52%,1.98%,2.49%,$25,234.00,$32,167.00,$27,422.00,$23,036.00,$14,710.00,14.80%,21.90%,30.60%,18.70%,,,,,,,,
Callaway,71.10%,18.20%,0.70%,4.10%,0.01%,,4.50%,5.90%,$36,064.00,$41,509.00,$27,773.00,$20,324.00,$16,102.00,10.30%,11.60%,18.20%,7.70%,,,,,,,,
Campbell,94.55%,0.93%,0.26%,0.86%,0.07%,1.72%,1.61%,4.45%,$26,373.00,$34,063.00,$26,250.00,$24,609.00,$18,721.00,12.90%,13.50%,34.20%,8.00%,,,,,,,,
Campbellton,39.62%,59.91%,,,,0.47%,,0.47%,$22,212.00,$26,875.00,$31,250.00,$19,792.00,$12,139.00,20.00%,16.60%,16.90%,17.10%,,,,,,,,
Canal Point,55.05%,17.52%,0.38%,0.57%,0.19%,21.14%,5.14%,35.05%,$37,813.00,$29,792.00,$32,232.00,$12,283.00,$18,625.00,19.50%,14.40%,11.80%,7.80%,,,,,,,,
Cape Canaveral,94.68%,1.43%,0.32%,1.70%,0.06%,0.42%,1.40%,3.48%,$30,858.00,$43,109.00,$33,571.00,$22,423.00,$23,537.00,9.20%,11.60%,28.70%,7.10%,,,,,,,,
Captiva,98.42%,,,0.79%,,0.26%,0.53%,0.79%,$64,821.00,$120,488.00,$31,875.00,$44,861.00,$76,139.00,0.00%,0.00%,,,,,,,,,,
Carrabelle,91.48%,5.68%,0.31%,0.08%,0.08%,0.84%,1.53%,1.61%,$23,749.00,$27,955.00,$26,719.00,$19,018.00,$14,677.00,14.80%,19.40%,18.90%,24.20%,,,,,,,,
Carrollwood (CDP),80.80%,7.80%,0.20%,3.80%,0.05%,4.00%,3.30%,27.40%,,,,,,,,,,,,,,,,,
Caryville,73.39%,20.64%,1.38%,,,2.75%,1.83%,5.96%,$22,500.00,$28,750.00,$25,000.00,$15,625.00,$11,385.00,16.70%,37.30%,66.70%,35.10%,,,,,,,,
Casselberry,80.10%,8.00%,0.40%,2.90%,0.10%,4.90%,3.50%,22.60%,$44,807.00,$51,371.00,,,$24,184.00,14.70%,,,,,,,,,,,
Cedar Grove,85.47%,9.60%,0.73%,1.77%,0.09%,0.56%,1.79%,2.11%,$28,762.00,$31,577.00,$25,203.00,$18,250.00,$13,588.00,16.10%,19.00%,29.80%,7.10%,,,,,,,,
