County,Incorporated City or Town,Incorporation Date,"June 1, 1850","June 1, 1860","June 1, 1870","June 1, 1880","June 1, 1890 (2)","June 1, 1900","April 15, 1910","Jan. 1, 1920","April 1, 1930","April 1, 1940","April 1, 1950","April 1, 1960","April 1, 1970","April 1, 1980","April 1, 1990","April 1, 2000 (4)","April 1, 2010"
Los Angeles,Maywood,1924,,,,,,,,,"6,794","10,731","13,292","14,588","16,996","21,810","27,850","28,083","27,395"
Los Angeles,Monrovia,1887,,,,,907,"1,205","3,576","5,480","10,890","12,807","20,186","27,079","30,562","30,531","35,761","36,929","36,590"
Los Angeles,Montebello,1920,,,,,,,,,"5,498","8,016","21,735","32,097","42,807","52,929","59,564","62,150","62,500"
Los Angeles,Monterey Park,1916,,,,,,,,"4,108","6,406","8,531","20,395","37,821","49,166","54,338","60,738","60,051","60,269"
Los Angeles,Norwalk,1957,,,,,,,,,,,,"88,739","90,164","84,901","94,279","104,323","105,549"
Los Angeles,Palmdale,1962,,,,,,,,,,,,,"8,511","12,277","68,842","116,670","152,750"
Los Angeles,Palos Verdes Estates,1939,,,,,,,,,,987,"1,963","9,564","13,631","14,376","13,512","13,340","13,438"
Los Angeles,Paramount,1957,,,,,,,,,,,,"27,249","34,734","36,407","47,669","55,266","54,098"
Los Angeles,Pasadena,1886,,,,,"4,882","9,117","30,291","45,354","76,086","81,864","104,577","116,407","112,951","118,072","131,591","133,936","137,122"
Los Angeles,Pico Rivera,1958,,,,,,,,,,,,"49,150","54,170","53,387","59,177","63,428","62,942"
Los Angeles,Pomona,1888,,,,,"3,634","5,526","10,207","13,505","20,804","23,539","35,405","67,157","87,384","92,742","131,723","149,473","149,058"
Los Angeles,Rancho Palos Verdes,1973,,,,,,,,,,,,,,"36,577","41,659","41,145","41,643"
Los Angeles,Redondo Beach,1892,,,,,,855,"2,935","4,913","9,347","13,092","25,226","46,986","57,451","57,102","60,167","63,261","66,748"
Los Angeles,Rolling Hills,1957,,,,,,,,,,,,"1,664","2,050","2,049","1,871","1,871","1,860"
Los Angeles,Rolling Hills Estates,1957,,,,,,,,,,,,"3,941","6,735","7,701","7,789","7,676","8,067"
Los Angeles,Rosemead,1959,,,,,,,,,,,,"15,476","40,972","42,604","51,638","53,505","53,764"
Los Angeles,San Dimas,1960,,,,,,,,,,,,,"15,692","24,014","32,397","34,980","33,371"
Los Angeles,San Fernando,1911,,,,,,,,"3,204","7,567","9,094","12,922","16,093","16,571","17,731","22,580","23,564","23,645"
Los Angeles,San Gabriel,1913,,,,,,,,"2,640","7,224","11,867","20,343","22,561","29,336","30,072","37,120","39,804","39,718"
Los Angeles,San Marino,1913,,,,,,,,584,"3,730","8,175","11,230","13,658","14,177","13,307","12,959","12,945","13,147"
Los Angeles,Santa Clarita,1987,,,,,,,,,,,,,,,"110,642","151,088","176,320"
Los Angeles,Santa Fe Springs,1957,,,,,,,,,,,,"16,342","14,750","14,520","15,520","16,413","16,223"
Los Angeles,Santa Monica,1886,,,,,"1,580","3,057","7,847","15,252","37,146","53,500","71,595","83,249","88,289","88,314","86,905","84,084","89,736"
Los Angeles,Sierra Madre,1907,,,,,,,"1,303","2,026","3,550","4,581","7,273","9,732","12,140","10,837","10,762","10,578","10,917"
Los Angeles,Signal Hill,1924,,,,,,,,,"2,932","3,184","4,040","4,627","5,588","5,734","8,371","9,333","11,016"
Los Angeles,South El Monte,1958,,,,,,,,,,,,"4,850","13,443","16,623","20,850","21,144","20,116"
Los Angeles,South Gate,1923,,,,,,,,,"19,632","26,945","51,116","53,831","56,909","66,784","86,284","96,375","94,396"
Los Angeles,South Pasadena,1888,,,,,623,"1,001","4,649","7,652","13,730","14,356","16,935","19,706","22,979","22,681","23,936","24,292","25,619"
Los Angeles,Temple City,1960,,,,,,,,,,,,"31,838","31,034","28,972","31,100","33,377","35,558"
Los Angeles,Torrance,1921,,,,,,,,,"7,271","9,950","22,241","100,991","134,968","129,881","133,107","137,946","145,438"
Los Angeles,Vernon,1905,,,,,,,772,"1,005","1,269",850,432,229,261,90,152,91,112
Los Angeles,Walnut,1959,,,,,,,,,,,,934,"5,992","12,478","29,105","30,004","29,172"
Los Angeles,West Covina,1923,,,,,,,,,769,"1,072","4,499","50,645","68,034","81,292","96,086","105,080","106,098"
Los Angeles,West Hollywood,1984,,,,,,,,,,,,,,,"36,118","35,794","34,399"
Los Angeles,Westlake Village,1981,,,,,,,,,,,,,,,"7,455","8,368","8,270"
Los Angeles,Whittier,1898,,,,,,"1,590","4,550","7,997","14,822","16,115","23,433","33,663","72,863","68,558","77,671","83,680","85,331"
