,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Lebanon,88.40%,1.60%,0.30%,6.80%,0.00%,0.80%,2.10%,2.90%,,,,,,,,,
Lee,96.02%,0.55%,0.22%,1.57%,0.19%,0.39%,1.06%,1.18%,,,,,,,,,
Lempster,97.22%,,0.10%,0.10%,0.10%,,2.47%,0.21%,,,,,,,,,
Lincoln,96.90%,0.30%,0.10%,1.70%,0.00%,0.30%,0.60%,1.70%,,,,,,,,,
Lisbon,97.80%,0.20%,0.20%,0.00%,0.00%,0.40%,1.40%,0.90%,,,,,,,,,
Litchfield,97.72%,0.53%,0.29%,0.57%,,0.15%,0.75%,0.83%,,,,,,,,,
Littleton,96.20%,0.40%,0.30%,1.00%,,0.50%,1.60%,1.90%,,,,,,,,,
Londonderry,95.80%,0.70%,0.10%,1.70%,0.03%,0.40%,1.20%,2.10%,,,,,,,,,
Loudon,98.30%,0.30%,0.30%,0.40%,0.00%,0.10%,0.80%,0.80%,,,,,,,,,
Lyman,98.36%,0.21%,0.21%,0.21%,,0.41%,0.62%,0.21%,,,,,,,,,
Lyme,96.90%,0.30%,0.30%,1.10%,,0.30%,1.00%,2.40%,,,,,,,,,
Lyndeborough,98.17%,0.19%,0.13%,0.32%,,0.38%,0.82%,1.64%,,,,,,,,,
Madbury,96.62%,0.40%,0.27%,1.26%,,0.40%,1.06%,0.46%,,,,,,,,,
Madison,97.78%,0.05%,0.66%,0.20%,,0.40%,0.91%,0.76%,,,,,,,,,
Manchester,86.10%,4.10%,0.30%,3.70%,0.10%,3.10%,2.70%,8.10%,,,,,,,,,
Marlborough,97.00%,0.40%,0.05%,0.90%,0.00%,0.20%,1.40%,1.40%,,,,,,,,,
Marlow,98.80%,,0.13%,,,,1.07%,1.07%,,,,,,,,,
Mason,98.08%,0.17%,0.09%,0.44%,0.44%,,0.78%,0.96%,,,,,,,,,
Meredith,97.30%,0.30%,0.20%,0.90%,0.00%,0.30%,1.00%,1.10%,,,,,,,,,
Merrimack,95.00%,0.80%,0.20%,2.00%,0.02%,0.50%,1.60%,2.10%,,,,,,,,,
Merrimack County,95.30%,1.00%,0.30%,1.60%,,0.30%,1.40%,1.60%,,,,,,,,,
Middleton,98.54%,0.14%,0.21%,0.56%,,,0.56%,0.35%,,,,,,,,,
Milan,98.95%,0.08%,0.30%,0.08%,,0.23%,0.38%,,,,,,,,,,
Milford,94.80%,1.30%,0.20%,1.30%,0.01%,0.60%,1.70%,2.20%,,,,,,,,,
Milton,97.40%,0.50%,0.20%,0.20%,0.02%,0.20%,1.50%,0.90%,,,,,,,,,
Monroe,97.63%,0.00%,0.00%,0.13%,0.00%,0.00%,2.24%,0.00%,,,,,,,,,
