,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Florida,97.49%,0.59%,0.44%,0.44%,,0.30%,0.74%,0.44%,,,,,,,,,
Forestdale,96.97%,0.85%,0.58%,0.50%,,0.35%,0.75%,1.28%,$62,072.00,$65,723.00,$46,513.00,$29,271.00,$24,072.00,1.90%,2.10%,1.50%,12.00%
Foxborough (CDP),96.57%,1.42%,0.13%,1.07%,,0.29%,0.53%,1.60%,$50,431.00,$58,924.00,$42,030.00,$35,370.00,$31,245.00,4.10%,5.10%,5.40%,8.70%
Framingham,65.30%,5.80%,0.80%,6.30%,0.10%,6.27%,3.38%,13.40%,$54,288.00,$67,420.00,$46,122.00,$35,941.00,$27,758.00,8.00%,16.00%,11.40%,6.10%
Franklin,92.80%,1.40%,0.15%,3.83%,,0.29%,1.40%,2.00%,,,,,,,,,
Franklin County,94.20%,1.10%,0.30%,1.30%,,1.00%,2.10%,3.20%,,,,,,,,,
Freetown,96.15%,0.72%,0.19%,0.65%,0.01%,1.09%,1.19%,0.73%,,,,,,,,,
Gardner,93.13%,2.29%,0.34%,1.37%,0.08%,1.22%,1.58%,4.08%,,,,,,,,,
Georgetown,96.90%,0.50%,0.20%,0.90%,,0.30%,1.20%,1.70%,,,,,,,,,
Gill,97.43%,0.29%,0.07%,0.81%,,0.37%,1.03%,0.73%,,,,,,,,,
Gloucester,91.99%,6.61%,0.12%,0.72%,0.02%,0.50%,1.03%,15.48%,,,,,,,,,
Goshen,99.02%,,0.11%,0.22%,,,0.65%,1.09%,,,,,,,,,
Gosnold,95.35%,,,,,,4.65%,0.00%,,,,,,,,,
Grafton,95.92%,1.25%,0.11%,1.45%,,0.24%,1.03%,1.91%,,,,,,,,,
Granby,96.77%,0.51%,0.13%,0.96%,0.02%,0.52%,1.09%,1.21%,,,,,,,,,
Granby (CDP),96.43%,0.67%,0.15%,0.45%,0.07%,1.04%,1.19%,2.31%,$51,250.00,$59,960.00,$40,611.00,$31,964.00,$21,631.00,0.00%,1.50%,0.00%,3.00%
Granville,98.69%,0.26%,,0.20%,,0.39%,0.46%,0.66%,,,,,,,,,
Great Barrington,94.74%,2.09%,0.16%,1.25%,0.03%,0.70%,1.04%,2.07%,,,,,,,,,
Great Barrington (CDP),92.84%,3.09%,0.33%,1.02%,0.04%,1.26%,1.42%,2.97%,$35,077.00,$53,542.00,$31,653.00,$28,846.00,$23,390.00,2.50%,8.90%,3.70%,5.90%
Green Harbor,98.50%,0.38%,0.08%,0.21%,0.04%,0.54%,0.25%,1.21%,$74,375.00,$81,275.00,$43,750.00,$38,913.00,$29,200.00,1.80%,2.60%,2.40%,0.00%
Greenfield,93.39%,1.34%,0.32%,1.10%,0.02%,1.41%,2.43%,3.54%,,,,,,,,,
Groton,97.22%,0.35%,0.13%,0.97%,0.02%,0.27%,1.04%,1.14%,,,,,,,,,
Groton (CDP),94.61%,0.72%,0.27%,1.08%,0.18%,0.99%,2.16%,1.44%,$58,409.00,$80,981.00,$60,833.00,$32,292.00,$33,044.00,6.60%,11.40%,15.30%,0.00%
