,1850,1850,1860,1860,1870,1870,1880,1880,1890,1890,1900,1900,1910,1910,1920,1920,1930,1930,1940,1940,1950,1950,1960,1960,1970,1970,1980,1980,1990,1990,2000,2000,2010,2010
,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state
Shasta,378,0.41%,"4,360",1.15%,"4,173",0.74%,"9,492",1.10%,"12,133",1.00%,"17,318",1.17%,"18,920",0.80%,"13,361",0.39%,"13,927",0.25%,"28,800",0.42%,"36,413",0.34%,"59,468",0.38%,"77,640",0.39%,"115,613",0.49%,"147,036",0.49%,"163,256",0.48%,"177,223",0.48%
Sierra,--,--,--,--,--,--,"6,623",0.77%,"5,051",0.42%,"4,017",0.27%,"4,098",0.17%,"1,783",0.05%,"2,422",0.04%,"3,025",0.04%,"2,410",0.02%,"2,247",0.01%,"2,365",0.01%,"3,073",0.01%,"3,318",0.01%,"3,555",0.01%,"3,240",0.01%
Siskiyou,--,--,"7,629",2.01%,"6,848",1.22%,"8,610",1.00%,"12,163",1.00%,"16,962",1.14%,"18,801",0.79%,"18,545",0.54%,"25,480",0.45%,"28,598",0.41%,"30,733",0.29%,"32,885",0.21%,"33,225",0.17%,"39,732",0.17%,"43,531",0.15%,"44,301",0.13%,"44,900",0.12%
Solano,580,0.63%,"7,169",1.89%,"16,871",3.01%,"18,475",2.14%,"20,946",1.73%,"24,143",1.63%,"27,559",1.16%,"40,602",1.18%,"40,834",0.72%,"49,118",0.71%,"104,833",0.99%,"134,597",0.86%,"169,941",0.85%,"235,203",0.99%,"340,421",1.14%,"394,542",1.16%,"413,344",1.11%
Sonoma,560,0.60%,"11,867",3.12%,"19,819",3.54%,"25,926",3.00%,"32,721",2.70%,"38,480",2.59%,"48,394",2.04%,"52,090",1.52%,"62,222",1.10%,"69,052",1.00%,"103,405",0.98%,"147,375",0.94%,"204,885",1.03%,"299,681",1.27%,"388,222",1.30%,"458,614",1.35%,"483,878",1.30%
Stanislaus,--,--,"2,245",0.59%,"6,499",1.16%,"8,751",1.01%,"10,040",0.83%,"9,550",0.64%,"22,522",0.95%,"43,557",1.27%,"56,641",1.00%,"74,866",1.08%,"127,231",1.20%,"157,294",1.00%,"194,506",0.97%,"265,900",1.12%,"370,522",1.25%,"446,997",1.32%,"514,453",1.38%
Sutter,"3,444",3.72%,"3,390",0.89%,"5,030",0.90%,"5,159",0.60%,"5,469",0.45%,"5,886",0.40%,"6,328",0.27%,"10,115",0.30%,"14,618",0.26%,"18,680",0.27%,"26,239",0.25%,"33,380",0.21%,"41,935",0.21%,"52,246",0.22%,"64,415",0.22%,"78,930",0.23%,"94,737",0.25%
Tehama,--,--,"4,044",1.06%,"3,587",0.64%,"9,301",1.08%,"9,916",0.82%,"10,996",0.74%,"11,401",0.48%,"12,882",0.38%,"13,866",0.24%,"14,316",0.21%,"19,276",0.18%,"25,305",0.16%,"29,517",0.15%,"38,888",0.16%,"49,625",0.17%,"56,039",0.17%,"63,463",0.17%
Trinity,"1,635",1.77%,"5,125",1.35%,"3,213",0.57%,"4,999",0.58%,"3,719",0.31%,"4,383",0.30%,"3,301",0.14%,"2,551",0.07%,"2,809",0.05%,"3,970",0.06%,"5,087",0.05%,"9,706",0.06%,"7,615",0.04%,"11,858",0.05%,"13,063",0.04%,"13,022",0.04%,"13,786",0.04%
Tulare,--,--,"4,638",1.22%,"4,533",0.81%,"11,281",1.30%,"24,574",2.03%,"18,375",1.24%,"35,440",1.49%,"59,031",1.72%,"77,442",1.36%,"107,152",1.55%,"149,264",1.41%,"168,403",1.07%,"188,322",0.94%,"245,738",1.04%,"311,921",1.05%,"368,021",1.09%,"442,179",1.19%
Tuolumne,"8,351",9.02%,"16,229",4.27%,"8,150",1.45%,"7,848",0.91%,"6,082",0.50%,"11,166",0.75%,"9,979",0.42%,"7,768",0.23%,"9,271",0.16%,"10,887",0.16%,"12,584",0.12%,"14,404",0.09%,"22,169",0.11%,"33,928",0.14%,"48,456",0.16%,"54,504",0.16%,"55,365",0.15%
Ventura,--,--,--,--,--,--,--,--,--,--,"14,367",0.97%,"18,347",0.77%,"28,724",0.84%,"54,976",0.97%,"69,685",1.01%,"114,647",1.08%,"199,138",1.27%,"376,430",1.89%,"529,174",2.24%,"669,016",2.25%,"753,197",2.22%,"823,318",2.21%
Yolo,"1,086",1.17%,"4,716",1.24%,"9,899",1.77%,"11,772",1.36%,"12,684",1.05%,"13,618",0.92%,"13,926",0.59%,"17,105",0.50%,"23,644",0.42%,"27,243",0.39%,"40,640",0.38%,"65,727",0.42%,"91,788",0.46%,"113,374",0.48%,"141,092",0.47%,"168,660",0.50%,"200,849",0.54%
Yuba,"9,673",10.45%,"13,668",3.60%,"10,851",1.94%,"11,284",1.30%,"9,636",0.79%,"8,620",0.58%,"10,042",0.42%,"10,375",0.30%,"11,331",0.20%,"17,034",0.25%,"24,420",0.23%,"33,859",0.22%,"44,736",0.22%,"49,733",0.21%,"58,228",0.20%,"60,219",0.18%,"72,155",0.19%
