State,Year,Office,County,D#,R#,S#,SL#,SW#,S&L#,Comm.#,FL#,ND#,SD#,Proh.#,NP#,PF#,Pop.#,Prog.#,U#,AI#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,W/I#,GR#,Am.F#,ER#,NT#,WL#,Pat.#,NA#,BD#,SM#,Cit.#,Labor#,Univ.#,Pet.1#,Pet.2#,UC#,ACP#,New I#,LMN#,SRD#,Peace I#,Am.#,Iowa#,New IA#,PND#,Pet.3#,Pet.4#,BQFTL#,CON#,Pet.#,Clear Water #,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,C#,NI#,All.#,Geneol.#
Iowa,1996,President,O'Brien,2236,3877,,,0,,,,,,,,,,,,12,,,,578,8,13,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Osceola,1010,1736,,,0,,,,,,,,,,,,18,,,,274,2,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Page,2220,4032,,,0,,,,,,,,,,,,5,,,,753,11,16,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Palo Alto,2371,1817,,,1,,,,,,,,,,,,17,,,,477,4,11,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Plymouth,3745,5117,,,4,,,,,,,,,,,,52,,,,997,12,16,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Pocahontas,1981,1707,,,1,,,,,,,,,,,,14,,,,478,8,9,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Polk,83877,60884,,,40,,,,,,,,,,,,272,,,,9516,197,786,301,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Pottawattamie,13276,15648,,,2,,,,,,,,,,,,81,,,,3534,66,96,69,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Poweshiek,4183,3221,,,9,,,,,,,,,,,,14,,,,681,12,73,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Ringgold,1439,967,,,0,,,,,,,,,,,,7,,,,310,5,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Sac,2170,2209,,,2,,,,,,,,,,,,15,,,,579,3,15,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Scott,32694,26751,,,25,,,,,,,,,,,,187,,,,4991,86,295,152,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Shelby,2176,3056,,,0,,,,,,,,,,,,15,,,,652,8,16,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Sioux,2392,10864,,,3,,,,,,,,,,,,63,,,,718,9,42,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Story,17234,12468,,,21,,,,,,,,,,,,55,,,,2091,59,601,116,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Tama,3994,2986,,,2,,,,,,,,,,,,6,,,,713,13,18,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Taylor,1458,1419,,,0,,,,,,,,,,,,6,,,,379,1,7,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Union,2787,2156,,,4,,,,,,,,,,,,28,,,,660,2,18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Van Buren,1536,1460,,,0,,,,,,,,,,,,8,,,,347,8,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Wapello,8437,4828,,,0,,,,,,,,,,,,16,,,,1376,29,54,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Warren,9120,6905,,,7,,,,,,,,,,,,45,,,,1267,20,61,27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Washington,3828,3600,,,1,,,,,,,,,,,,23,,,,636,27,38,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Wayne,1650,1295,,,1,,,,,,,,,,,,4,,,,310,0,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Webster,8380,6275,,,2,,,,,,,,,,,,10,,,,1580,9,40,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Winnebago,2679,2211,,,1,,,,,,,,,,,,11,,,,590,8,10,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Winneshiek,4122,3532,,,0,,,,,,,,,,,,10,,,,973,14,102,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Woodbury,17224,16368,,,10,,,,,,,,,,,,147,,,,3436,72,142,35,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Worth,2293,1284,,,1,,,,,,,,,,,,5,,,,403,5,14,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1996,President,Wright,2912,2473,,,0,,,,,,,,,,,,13,,,,536,4,9,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Adair,1753,2275,1,,0,,,,,,,,,,,,3,,,,14,,66,4,2,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Adams,897,1170,1,,1,,,,,,,,,,,,0,,,,16,,51,4,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Allamakee,2883,3277,1,,2,,,,,,,,,,,,4,,,,68,,199,13,7,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Appanoose,2560,2992,0,,2,,,,,,,,,,,,7,,,,18,,105,15,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Audubon,1780,1909,0,,0,,,,,,,,,,,,2,,,,23,,56,6,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Benton,5915,5468,2,,2,,,,,,,,,,,,3,,,,95,,231,25,12,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Black Hawk,30112,23468,0,,2,,,,,,,,,,,,19,,,,163,,1132,107,61,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Boone,6270,5625,0,,1,,,,,,,,,,,,14,,,,46,,252,15,17,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Bremer,5169,5675,2,,0,,,,,,,,,,,,3,,,,28,,260,17,14,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Buchanan,5045,4092,2,,3,,,,,,,,,,,,7,,,,52,,171,19,8,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2000,President,Buena Vista,3297,4354,1,,5,,,,,,,,,,,,8,,,,59,,227,15,4,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
