State,Year,Office,County,D#,R#,PI#,S#,MR#,Proh.#,SL#,Prog.#,U#,Am.#,I1#,I2#,I3#,Neb.#,Ref.#,NL#,Pet1.#,Pet.2#,G#,L#,NA#,W/I#,Pet.#,NPL#,Pet.#.1,W/I1#,W/I2#,W/I3#,W/I4#,Year/Office
Nebraska,1904,President,Garfield,84,406,94,14,,4,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Gosper,154,548,212,9,,24,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Grant,49,113,6,1,,0,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Greeley,447,836,185,53,,20,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Hall,817,2508,271,129,,93,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Hamilton,551,1845,410,39,,161,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Harlan,299,1178,350,55,,157,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Hayes,110,335,48,32,,7,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Hitchcock,166,598,190,15,,10,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Holt,646,1740,706,74,,122,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Hooker,22,72,8,0,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Howard,476,1259,401,32,,42,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Jefferson,659,2067,122,128,,126,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Johnson,642,1611,150,17,,119,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Kearney,396,1235,384,32,,83,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Keith,89,263,75,8,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Keya Paha,97,448,129,37,,10,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Kimball,20,143,10,3,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Knox,864,2163,328,71,,91,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Lancaster,1981,8167,663,178,,552,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Lincoln,328,1449,223,218,,50,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Logan,22,100,34,20,,4,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Loup,23,223,69,20,,0,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Madison,12,108,5,8,,1,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,McPherson,1049,2210,157,49,,53,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Merrick,400,1275,242,15,,155,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Nance,311,1198,224,12,,62,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Nemaha,786,1946,290,73,,114,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Nuckolls,585,1615,385,17,,46,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Otoe,1420,2616,168,137,,104,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Pawnee,562,1739,91,42,,109,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Perkins,57,179,85,2,,4,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Phelps,219,1567,393,20,,110,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Pierce,616,1122,97,39,,39,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Platte,1511,1947,158,22,,61,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Polk,239,1235,690,36,,179,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Red Willow,306,1373,257,74,,61,,,,,,,,,,,,,,,,,,,,,,,,
