State,Year,Office,County,D#,R#,IDB#,Cit.#,WW#,NA#,NER#,WL#,BL#,Justice#,PF#,Proh.#,IGR#,GR#,SD#,GB#,ND#,UL#,Pop.#,CF#,Comm.#,FL#,SW#,S&L#,SE#,S#,Ind.#,SL#,Wor.#,SI#,Indus.#,IL#,Prog.#,U#,AI#,I1#,I2#,IND#,NL#,RefM#,Ref.#,LMN#,G#,L#,W/I1#,W/2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,D1#,D2#,Indus#,PII#,NU#,Res.#,IG#,Am.#,RW#,W/I2#,Eco,Reso,QRT#,TPC#,NRA#,ER#,IR#,HG#,SA#,PO#,Mid-P.,W/I#,Ind.All#
Minnesota,1884,President,Wright,1609,2383,,,,,,,,,,112,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1884,President,Yellow Medicine,193,1112,,,,,,,,,,59,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Aitkin,185,408,,,,,,,,,,34,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Anoka,807,1320,,,,,,,,,,175,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Becker,511,1360,,,,,,,,,,301,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Benton,762,527,,,,,,,,,,35,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Big Stone,446,641,,,,,,,,,,109,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Blue Earth,2761,3307,,,,,,,,,,403,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Brown,1489,1285,,,,,,,,,,112,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Carlton,439,924,,,,,,,,,,40,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
