State,Year,Office,County,D#,R#,S#,Comm.#,Liberty#,SW#,People's#,Proh.#,IND#,Labor#,Prog.#,Wor.#,FL#,U#,NRef#,Am.#,I1#,I2#,L#,Ref.#,NL#,G#,NA#,Delta#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I7#,W/I8#,W/I9#,New Ref.#,W/I#,Year / Office,C#,NPL#
Montana,1920,President,Ravalli,1224,2110,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Richland,744,1759,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Roosevelt,555,1624,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Rosebud,873,2239,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Sanders,741,1035,,,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Sheridan,610,1335,,,,,,,,,,,552,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Silver Bow,6394,10074,,,,,,,,,,,1730,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Stillwater,664,1721,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Sweet Grass,349,1035,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Teton,671,1319,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Toole,405,861,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Treasure,174,517,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Valley,895,2096,,,,,,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Wheatland,520,1250,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Wibaux,223,692,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Yellowstone,2782,5714,,,,,,,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Beaverhead,766,1386,,,,,587,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Big Horn,327,1082,,,,,465,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Blaine,337,827,,,,,642,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Broadwater,486,531,,,,,390,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Carbon,698,1891,,,,,1648,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Carter,283,669,,,,,283,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Cascade,2220,5081,,,,,4373,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Chouteau,706,1347,,,,,857,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Custer,412,1654,,,,,1707,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Daniels,185,505,,,,,740,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Dawson,346,1326,,,,,941,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Deer Lodge,1611,1937,,,,,1918,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Fallon,220,731,,,,,363,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Fergus,1580,2942,,,,,3119,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Flathead,788,2541,,,,,2537,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Gallatin,1564,2494,,,,,1564,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Garfield,355,876,,,,,502,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Glacier,511,586,,,,,309,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Golden Valley,118,422,,,,,573,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Granite,353,582,,,,,402,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Hill,602,1110,,,,,1906,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Jefferson,434,648,,,,,689,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Judith Basin,480,888,,,,,763,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Lake,340,884,,,,,1932,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Lewis and Clark,1869,3433,,,,,1570,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Liberty,141,239,,,,,329,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Lincoln,374,976,,,,,1030,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Madison,143,494,,,,,651,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,McCone,672,1137,,,,,641,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Meagher,257,624,,,,,166,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Mineral,123,223,,,,,686,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Missoula,1012,2386,,,,,4704,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Musselshell,247,1488,,,,,1512,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Park,688,2199,,,,,1447,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Phillips,473,1236,,,,,935,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Pondera,414,764,,,,,849,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Powder River,123,480,,,,,380,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Powell,559,982,,,,,889,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Prairie,162,683,,,,,367,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1924,President,Ravalli,562,1311,,,,,1594,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
