State,Year,Office,County,D#,R#,Pop.#,PF#,Proh.#,BR#,Right.#,FB#,Labor#,Wor.#,Nat.#,Cit.#,Free.#,Comm.#,S#,Ind.#,Prog.#,SD#,SL#,FS#,S&L#,SW#,SE#,FL#,Chr.#,Liberty#,Justice#,U#,Am.#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D1#,D2#,R1#,R2#,ULS#,WSAL#,CNPM#,CNP#,IP#,New#,Buffalo#,C#,W/I#,State#,OWL#,T#,I#,Year / Office,Prog.#.1,Christian#,CON#,NM#
Washington,,,Snohomish,212974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112640,,,,,,,,,,,,,,,,,,,,1136,,,,,2016 Attorney General,,,,
Washington,,,Spokane,121452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90240,,,,,,,,,,,,,,,,,,,,1148,,,,,2016 Attorney General,,,,
Washington,,,Stevens,9632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10770,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Thurston,83338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38845,,,,,,,,,,,,,,,,,,,,604,,,,,2016 Attorney General,,,,
Washington,,,Wahkiakum,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,,,,,,,,,,,,,,,,,,,,16,,,,,2016 Attorney General,,,,
Washington,,,Walla Walla,13403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9681,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Whatcom,68377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32418,,,,,,,,,,,,,,,,,,,,463,,,,,2016 Attorney General,,,,
Washington,,,Whitman,9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5955,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Yakima,43216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28902,,,,,,,,,,,,,,,,,,,,339,,,,,2016 Attorney General,,,,
Washington,,,Adams,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Asotin,3604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5693,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Benton,27675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49957,,,,,,,,,,125,,,,,2016 Auditor,,,,
Washington,,,Chelan,12285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19109,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Clallam,17493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19980,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Clark,89618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101962,,,,,,,,,,334,,,,,2016 Auditor,,,,
Washington,,,Columbia,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Cowlitz,19799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23522,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Douglas,4980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9821,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Ferry,1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Franklin,9011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14125,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Garfield,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Grant,8557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18590,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Grays Harbor,13455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13660,,,,,,,,,,0,,,,,2016 Auditor,,,,
