State,Year,Office,County,D1#,R#,SD#,D2#,AS#,Nat.#,Wor.#,AF#,Lib.#,TC#,NP#,HR#,Cit.#,GB#,FL#,Proh.#,Labor#,UL#,Pop.#,SW#,S#,Comm.#,SL#,SE#,CW#,ST#,Prog.#,U#,AI#,Ind.#,Tisch#,I1#,I2#,I3#,I4#,Ref.#,NL#,G#,L#,WL#,UC#,W/I#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D#,FN#,WW#,I#,WAC#,W/I1#,IND#,Am.#,CON#,SD#.1,PU#,Tisch #,W/I7#,W/I8#,W/I9#,SqD#,CD#,T#
Michigan,2010,Governor,Benzie,,4709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,82,,,,0,0,0,0,0,2625,,,,,0,,59,,,,,0,0,,,,
Michigan,2010,Governor,Berrien,,28519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,450,,,,0,0,0,0,0,16178,,,,,0,,414,,,,,0,0,,,,
Michigan,2010,Governor,Branch,,9183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,86,,,,0,1,0,0,0,3306,,,,,0,,128,,,,,0,0,,,,
Michigan,2010,Governor,Calhoun,,25967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,264,,,,0,0,0,0,0,14572,,,,,0,,278,,,,,0,0,,,,
Michigan,2010,Governor,Cass,,8879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,132,,,,0,0,0,0,0,4661,,,,,0,,173,,,,,0,0,,,,
Michigan,2010,Governor,Charlevoix,,7048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,85,,,,0,0,0,0,0,2918,,,,,0,,77,,,,,0,0,,,,
Michigan,2010,Governor,Cheboygan,,6775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,91,,,,0,0,0,0,0,3016,,,,,0,,98,,,,,0,0,,,,
Michigan,2010,Governor,Chippewa,,7114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,107,,,,0,0,0,0,0,4261,,,,,0,,112,,,,,0,0,,,,
Michigan,2010,Governor,Clare,,6078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,96,,,,0,0,0,0,0,3018,,,,,0,,113,,,,,0,0,,,,
Michigan,2010,Governor,Clinton,,18425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,162,,,,0,0,0,0,0,9239,,,,,0,,140,,,,,0,0,,,,
Michigan,2010,Governor,Crawford,,3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,51,,,,0,0,0,0,0,1477,,,,,0,,70,,,,,0,0,,,,
Michigan,2010,Governor,Delta,,7558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,107,,,,0,0,0,0,0,5122,,,,,0,,169,,,,,0,0,,,,
Michigan,2010,Governor,Dickinson,,5910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,75,,,,0,0,0,0,0,3134,,,,,0,,110,,,,,0,0,,,,
Michigan,2010,Governor,Eaton,,24927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,329,,,,0,0,0,0,0,15899,,,,,0,,271,,,,,0,0,,,,
Michigan,2010,Governor,Emmet,,9183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,118,,,,0,0,0,0,0,3632,,,,,0,,97,,,,,0,0,,,,
