State,Year,Office,County,D#,R#,Prog.#,S#,SD#,Proh.#,SR#,Am.#,IND#,I1#,I2#,Ref.#,NL#,L#,G#,NA#,UC#,W/I#,D1#,D2#,I#,W/I1#,W/I2#,Year / Office,C#,All.#
South Carolina,1920,President,Union,2162,16,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Williamsburg,895,12,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,York,1583,35,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1924,President,Abbeville,681,19,37,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Aiken,1488,16,5,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Allendale,450,14,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Anderson,1455,9,3,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Bamberg,708,7,14,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Barnwell,847,23,2,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Beaufort,365,64,9,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Berkeley,501,26,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Calhoun,593,5,1,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Charleston,2554,361,108,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Cherokee,1186,24,6,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Chester,850,12,5,,,,,,,,,,,,,,,1,,,,,,,,
South Carolina,1924,President,Chesterfield,1539,11,1,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Clarendon,615,20,1,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Colleton,800,11,2,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Darlington,956,3,7,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Dillon,598,3,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Dorchester,697,20,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Edgefield,915,0,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Fairfield,631,11,2,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Florence,1217,32,52,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Georgetown,134,24,2,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Greenville,3728,59,42,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Greenwood,1815,15,4,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Hampton,730,3,4,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Horry,1346,1,3,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Jasper,89,0,39,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Kershaw,733,1,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Lancaster,1355,8,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Laurens,2105,6,4,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Lee,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Lexington,1395,7,2,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Marion,616,2,16,,,,,,,,,,,,,,,0,,,,,,,,
