State,Year,Office,County,D#,R#,Prog.#,Cit.#,SM#,PC#,CN#,New#,S#,SL#,Liberty#,Comm.#,Proh.#,FL#,U#,Workers#,AI#,SW#,I#,Ref.#,NL#,G#,L#,S&L,Delta#,NA#,W/I#,LRU#,PCP#,INM#,W/I1#,W/I2#,Year / Office,C#
New Mexico,1936,President,McKinley,2526,1404,,,,,,,5,,,3,1,,5,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Mora,2460,2259,,,,,,,2,,,0,0,,4,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Otero,1989,1333,,,,,,,8,,,0,2,,23,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Quay,3423,816,,,,,,,10,,,1,2,,38,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Rio Arriba,4691,4093,,,,,,,5,,,2,0,,11,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Roosevelt,2951,677,,,,,,,24,,,2,8,,193,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,San Juan,2094,1800,,,,,,,2,,,0,0,,2,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,San Miguel,1530,1345,,,,,,,14,,,2,5,,48,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Sandoval,6199,4697,,,,,,,5,,,0,0,,5,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Santa Fe,6145,4960,,,,,,,12,,,2,1,,12,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Sierra,1587,951,,,,,,,3,,,0,5,,16,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Socorro,2477,2530,,,,,,,9,,,0,0,,7,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Taos,3051,2918,,,,,,,3,,,0,0,,7,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Torrance,2346,1843,,,,,,,9,,,2,0,,27,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Union,2605,1625,,,,,,,8,,,0,0,,29,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Valencia,3336,2941,,,,,,,10,,,0,0,,4,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Bernalillo,14428,11999,,,,,,,28,,,,6,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Catron,1039,949,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Chaves,4304,2981,,,,,,,4,,,,10,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Colfax,4234,3452,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Curry,4670,1629,,,,,,,12,,,,8,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,De Baca,970,479,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Dona Ana,5208,3720,,,,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Eddy,4968,1625,,,,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Grant,3914,2015,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Guadalupe,2082,1807,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Harding,1004,998,,,,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Hidalgo,1049,516,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Lea,4295,1286,,,,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Lincoln,1763,1794,,,,,,,3,,,,10,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Luna,1388,1066,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,McKinley,2525,1701,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,
