State,Year,Office,County,D#,R#,L#,G#,NL#,Ref.#,Cit.#,Work.#,NA#,C#,I1#,I2#,I3#,I4#,PF#,SW#,S#,New#,SL#,Union,Comm.#,Proh.#,Prog.#,Pop.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,W/I15#,W/I16#,W/I17#,PoP,AE#,SA#
Arizona,1944,President,Yavapai,4395,3529,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Yuma,3472,1831,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Apache,1480,970,,,,,,,,,,,,,,,,,0,,,5,0,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Cochise,6198,3854,,,,,,,,,,,,,,,,,5,,,29,284,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Coconino,2309,2093,,,,,,,,,,,,,,,,,2,,,11,26,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Gila,4780,2329,,,,,,,,,,,,,,,,,5,,,31,120,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Graham,2139,1209,,,,,,,,,,,,,,,,,1,,,6,31,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Greenlee,2069,680,,,,,,,,,,,,,,,,,2,,,8,202,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Maricopa,40498,36585,,,,,,,,,,,,,,,,,47,,,459,1403,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Mohave,1499,1167,,,,,,,,,,,,,,,,,6,,,8,32,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Navajo,2669,1841,,,,,,,,,,,,,,,,,3,,,8,45,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Pima,17692,16968,,,,,,,,,,,,,,,,,38,,,120,807,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Pinal,3572,2232,,,,,,,,,,,,,,,,,2,,,20,61,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Santa Cruz,1424,1058,,,,,,,,,,,,,,,,,1,,,10,26,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Yavapai,4439,4287,,,,,,,,,,,,,,,,,4,,,60,132,,,,,,,,,,,,,,,,,,,,,
Arizona,1948,President,Yuma,4483,2324,,,,,,,,,,,,,,,,,5,,,11,141,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Apache,1193,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Cochise,5640,6495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Coconino,2408,3827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Gila,4928,3770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Graham,2200,2191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Greenlee,3019,1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Maricopa,50285,77249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Mohave,1066,1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Navajo,2593,3478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Pima,21237,32113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Pinal,4522,4985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Santa Cruz,1365,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Yavapai,3628,6567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1952,President,Yuma,4444,4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Apache,981,1685,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Cochise,5328,6893,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Coconino,2314,4044,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Gila,4026,4234,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Graham,1688,2384,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Greenlee,2711,1784,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Maricopa,54010,92140,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Mohave,968,1523,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Navajo,2033,3928,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Pima,23536,39298,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Pinal,5063,5762,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Santa Cruz,1131,1646,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Yavapai,3315,6339,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1956,President,Yuma,5776,5330,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Apache,1459,1568,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Cochise,7419,7572,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Coconino,4065,4870,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Gila,5251,3806,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Graham,2091,2491,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Greenlee,3069,1313,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Maricopa,86834,127090,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Mohave,1303,1641,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Navajo,3052,4090,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Pima,42171,46734,,,,,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Pinal,7232,6441,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Santa Cruz,1868,1265,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Yavapai,4325,6813,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1960,President,Yuma,6642,5547,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Apache,2042,1849,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Cochise,9045,7644,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Coconino,5270,5756,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Gila,6821,3713,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Graham,2783,2655,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Greenlee,3147,1132,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Maricopa,122042,143114,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Mohave,2243,2091,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Navajo,4770,4870,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Pima,54120,46955,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Pinal,9911,6956,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Santa Cruz,1955,1503,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Yavapai,5747,7749,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1964,President,Yuma,7857,6548,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1968,President,Apache,1668,2092,,,,,,,,402,,,,,3,2,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1968,President,Cochise,6597,7619,,,,,,,,2393,,,,,6,6,,84,6,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1968,President,Coconino,3504,6765,,,,,,,,1049,,,,,2,1,,71,0,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1968,President,Gila,4831,3610,,,,,,,,1222,,,,,4,4,,35,0,,,,,,,,,,,,,,,,,,,,,,,,,
